上の句,上の句読み
秋の田の　かりほの庵の　苫をあらみ,あきのたの、かりおのいおの、とまおあらみ
春過ぎて　夏来にけらし　白妙の,はるすぎて、なつきにけらし、しろたえの
あしびきの　山鳥の尾の　しだり尾の,あしびきの、やまどりのおの、しだりおの
田子の浦に　うち出でて見れば　白妙の,たごのうらに、うちいでてみれば、しろたえの
奥山に　紅葉踏み分け　鳴く鹿の,おくやまに、もみじふみわけ、なくしかの
かささぎの　渡せる橋に　置く霜の,かささぎの、わたせる橋に、おくしもの
天の原　ふりさけ見れば　春日なる,あまのはら、ふりさけみれば、かすがなる
我がいほは　都のたつみ　しかぞ住む,わがいおわ、みやこのたつみ、しかぞすむ
花の色は　移りにけりな　いたづらに,はなのいろわ、うつりにけりな、いたずらに
これやこの　行くも帰るも　別れては,これやこの、ゆくもかえるも、わかれてわ
わたの原　八十島かけて　漕ぎ出でぬと,わたのはら、やそしまかけて、こぎいでぬと
天つ風　雲のかよひぢ　吹きとぢよ,あまつかぜ、くものかよいじ、ふきとじよ
筑波嶺の　峰より落つる　みなの川,つくばねの、みねよりおつる、みなのがわ
みちのくの　しのぶもぢずり　たれゆゑに,みちのくの、しのぶもじずり、たれゆえに
君がため　春の野に出でて　若菜つむ,きみがため、はるののにいでて、わかなつむ
たち別れ　いなばの山の　峰に生ふる,たちわかれ、いなばのやまの、みねにおうる
ちはやぶる　神代も聞かず　龍田川,ちはやぶる、かみよもきかず、たつたがわ
住の江の　岸による波　よるさへや,すみのえの、きしによるなみ、よるさえや
難波潟　みじかき葦の　ふしの間も,なにわがた、みじかきあしの、ふしのまも
わびぬれば　今はた同じ　難波なる,わびぬれば、いまハたおなじ、なにわなる
今来むと　いひしばかりに　長月の,いまこんと、いいしばかりに、ながつきの
吹くからに　秋の草木の　しをるれば,ふくからに、あきのくさきの、しおるれば
月見れば　千々にものこそ　かなしけれ,つきみれば、ちぢにものこそ、かなしけれ
このたびは　幣もとりあへず　手向山,このたびわ、ぬさもとりあえず、たむけやま
なにしおはば　逢坂山の　さねかづら,なにしおわば、おうさかやまの、さねかずら
小倉山　峰のもみぢ葉　心あらば,おぐらやま、みねのもみじば、こころあらば
みかの原　わきて流るる　いづみ川,みかのはら、わきてながるる、いずみがわ
