意味,意味読み
秋の田で仮小屋に身を置くと、草を編んだ屋根の隙間から露が落ちてくる。私の袖は、いつまでもぬれていくばかりだ。,秋の田で仮ごやに身を置くと、草を編んだ屋根の隙間から露が落ちてくる。私のそでは、いつまでもぬれていくばかりだ。
天の香具山には、夏になると干すという白い衣が見える。春が去り、もう夏を迎えたらしい。,あまのかぐやまには、夏になると干すという白いころもがみえる。春が去り、もう夏を迎えたらしい。
山鳥の尾が長く垂れているように、夜はどこまでも長い。この夜を、私はひとり寂しく眠るのだろうか。,山鳥の尾が長く垂れているように、夜はどこまでも長い。この夜を、私はひとり寂しく眠るのだろうか。
田子の浦に出ると、富士の高い峰が真っ白に見える。あの山の上では、今も雪が降り続いているのだなあ。,たごのうらに出ると、富士の高い峰が真っ白にみえる。あの山の上では、今も雪がふり続いているのだなあ。
山奥で紅葉を踏み分け、鹿が鳴いている。その声が耳に届くと、秋の悲しさがいっそう身にしみる。,山奥でもみじをふみわけ、鹿が鳴いている。その声が耳に届くと、秋の悲しさがいっそう身にしみる。
かささぎの架ける天の橋を思わせる、宮中の階段が霜で白い。その白さに、ずいぶん夜が深まったのだと気づく。,かささぎのかける天の橋を思わせる、宮中の階段が霜で白い。その白さに、ずいぶん夜が深まったのだと気づく。
空を遠く見上げると月が出ている。あれは、ふるさとの春日で、三笠の山に昇るのを見た、あの月なのだなあ。,空を遠く見上げると月が出ている。あれは、ふるさとのかすがで、みかさの山に昇るのを見た、あの月なのだなあ。
私の住まいは都の東南にあり、こうして静かに暮らしている。それなのに人は、世の中をつらく思って逃れた宇治の山だと言うらしい。,私の住まいは都の東南にあり、こうして静かに暮らしている。それなのに人は、世の中をつらく思って逃れたうじの山だと言うらしい。
雨が長く降るうちに、桜の色は衰えてしまった。物思いに沈んでむなしく日を送る私も、いつしか美しさを失ってしまったなあ。,雨が長く降るうちに、桜の色は衰えてしまった。ものおもいに沈んでむなしく日を送る私も、いつしか美しさを失ってしまったなあ。
都を出ていく人も帰る人も、知り合いも見知らぬ人も、ここで出会っては別れていく。なるほど、これがあの逢坂の関なのだ。,都を出ていく人も帰る人も、知り合いも見知らぬ人も、ここで出会っては別れていく。なるほど、これがあのおうさかの関なのだ。
釣り船の漁師よ、都の人に私のことを知らせておくれ。島々を目指し、広い海へ船をこぎ出していったと。,釣り船の漁師よ、都の人に私のことを知らせておくれ。島々を目指し、広いうみへ船をこぎ出していったと。
