"上の句","上の句読み","下の句","下の句読み"
"秋の田の　かりほの庵の　苫をあらみ","あきのたの、かりおのいおの、とまおあらみ","我が衣手は　露にぬれつつ","わがころもでわ、つゆにぬれつつ"
"春過ぎて　夏来にけらし　白妙の","はるすぎて、なつきにけらし、しろたえの","衣干すてふ　天の香具山","ころもほすちょう、あまのかぐやま"
"あしびきの　山鳥の尾の　しだり尾の","あしびきの、やまどりのおの、しだりおの","ながながし夜を　ひとりかも寝む","ながながしよお、ひとりかもねん"
"田子の浦に　うち出でて見れば　白妙の","たごのうらに、うちいでてみれば、しろたえの","富士の高嶺に　雪は降りつつ","ふじのたかねに、ゆきわふりつつ"
"奥山に　紅葉踏み分け　鳴く鹿の","おくやまに、もみじふみわけ、なくしかの","声聞くときぞ　秋はかなしき","こえきくときぞ、あきわかなしき"
"かささぎの　渡せる橋に　置く霜の","かささぎの、わたせる橋に、おくしもの","白きを見れば　夜ぞふけにける","しろきおみれば、よぞふけにける"
"天の原　ふりさけ見れば　春日なる","あまのはら、ふりさけみれば、かすがなる","三笠の山に　出でし月かも","みかさのやまに、いでしつきかも"
"我がいほは　都のたつみ　しかぞ住む","わがいおわ、みやこのたつみ、しかぞすむ","世をうぢ山と　人はいふなり","よおうじやまと、ひとわいうなり"
"花の色は　移りにけりな　いたづらに","はなのいろわ、うつりにけりな、いたずらに","我が身世にふる　ながめせしまに","わがみよにふる、ながめせしまに"
"これやこの　行くも帰るも　別れては","これやこの、ゆくもかえるも、わかれてわ","知るも知らぬも　逢坂の関","しるもしらぬも、おうさかのせき"
"わたの原　八十島かけて　漕ぎ出でぬと","わたのはら、やそしまかけて、こぎいでぬと","人には告げよ　海人の釣舟","ひとにわつげよ、あまのつりぶね"
"天つ風　雲のかよひぢ　吹きとぢよ","あまつかぜ、くものかよいじ、ふきとじよ","をとめの姿　しばしとどめむ","おとめのすがた、しばしとどめん"
"筑波嶺の　峰より落つる　みなの川","つくばねの、みねよりおつる、みなのがわ","恋ぞつもりて　淵となりぬる","こいぞつもりて、ふちとなりぬる"
"みちのくの　しのぶもぢずり　たれゆゑに","みちのくの、しのぶもじずり、たれゆえに","乱れそめにし　我ならなくに","みだれそめにし、われならなくに"
"君がため　春の野に出でて　若菜つむ","きみがため、はるののにいでて、わかなつむ","我が衣手に　雪は降りつつ","わがころもでに、ゆきわふりつつ"
"たち別れ　いなばの山の　峰に生ふる","たちわかれ、いなばのやまの、みねにおうる","まつとし聞かば　いま帰りこむ","まつとしきかば、いまかえりこん"
"ちはやぶる　神代も聞かず　龍田川","ちはやぶる、かみよもきかず、たつたがわ","からくれなゐに　水くくるとは","からくれないに、みずくくるとわ"
"住の江の　岸による波　よるさへや","すみのえの、きしによるなみ、よるさえや","夢の通ひ路　人目よくらむ","ゆめのかよいじ、ひとめよくらん"
"難波潟　みじかき葦の　ふしの間も","なにわがた、みじかきあしの、ふしのまも","逢はでこの世を　過ぐしてよとや","あわでこのよお、すぐしてよとや"
"わびぬれば　今はた同じ　難波なる","わびぬれば、いまハたおなじ、なにわなる","身をつくしても　逢はむとぞ思ふ","みおつくしても、あわんとぞおもう"
"今来むと　いひしばかりに　長月の","いまこんと、いいしばかりに、ながつきの","有明の月を　待ち出でつるかな","ありあけのつきお、まちいでつるかな"
"吹くからに　秋の草木の　しをるれば","ふくからに、あきのくさきの、しおるれば","むべ山風を　あらしといふらむ","むべやまかぜお、あらしというらん"
"月見れば　千々にものこそ　かなしけれ","つきみれば、ちぢにものこそ、かなしけれ","我が身ひとつの　秋にはあらねど","わがみひとつの、あきにわあらねど"
"このたびは　幣もとりあへず　手向山","このたびわ、ぬさもとりあえず、たむけやま","もみぢの錦　神のまにまに","もみじのにしき、かみのまにまに"
